name,2018,2017,2016,2015,2014
TME M03 021.0 S,18432,18912,17699,16441,15223
TMU M01 000.0 N,124355,132966,129840,86056,107603
TMU M01 005.0 N,94068,98812,96067,92276,87916
TMU M01 010.0 S,55986,59186,57148,54132,51711
TMU M01 020.0 N,56106,59482,57496,54228,51459
TMU M01 038.0 N,2877,2778,1507,1381,1586
TMU M01 038.0 S,1950,2137,1950,1696,1555
TMU M01 070.0 N,23359,25785,24086,22079,22029
TMU M01 080.0 S,22615,25270,23849,22170,21502
TMU M02 000.0 N,36748,37718,35304,16926,31026
TMU M02 010.0 N,26372,27236,26056,24714,23307
TMU M03 010.0 S,36653,37929,33016,34087,32473
TMU M03 012.0 S,1613,1523,1261,1175,1124
TMU M03 020.0 S,1837,1861,1734,1666,1583
TMU M03 030.0 S,1908,1939,1615,1363,1143
TMU M03 032.0 S,15261,17885,16630,15511,13918
TMU M03 037.0 N,15384,16015,14347,13097,11884
TMU M03 040.0 S,1762,1739,1608,1478,1289
TMU M03 041.0 N,11115,11911,10795,10095,9129
TMU M03 050.0 N,600,646,635,555,540
TMU M03 050.0 S,758,800,805,719,700
TMU M04 015.0 E,54048,57450,56100,53839,52230
TMU M04 020.0 W,41433,44793,43353,40634,39642
TMU M04 070.0 E,17550,19116,18707,17950,17346
TMU M06 010.0 W,14991,16827,15980,15176,14372
TMU M06 025.0 W,19588,-,19843,18589,17577
TMU M06 035.0 W,16214,17892,17141,16259,15159
TMU M06 055.0 E,18736,20431,19748,18652,18323
TMU M07 030.0 W,63389,69439,61208,45180,49604
TMU M07 035.0 E,41069,45037,44361,-,39989
TMU M07 040.0 E,41331,45361,43733,41576,39094
TMU M07 045.0 E,36639,40135,38560,36500,29876
TMU M07 065.0 W,28349,31791,30649,29220,27539
TMU M07 070.0 W,28358,31821,30569,10669,24087
TMU M07 080.0 E,25603,28953,27797,25067,23256
TMU M07 085.0 N,22541,25872,20703,11608,11008
TMU M07 100.0 W,9946,11646,11162,10634,9952
TMU M07 110.0 W,11067,12782,12237,11622,10849
TMU M07 125.0 E,11092,12852,12349,11774,11032
TMU M07 130.0 E,12351,14026,13448,12683,11850
TMU M07 145.0 W,11698,13491,12719,11918,11068
TMU M07 150.0 W,12911,14578,13845,12829,11877
TMU M07 170.0 E,16868,18894,18103,16995,15589
TMU M07 170.0 W,18794,20786,19940,18739,17167
TMU M07 180.0 E,26581,28055,26776,24983,23289
TMU M07 190.0 W,39393,41014,39263,36659,34374
TMU M08 010.0 N,10109,12189,11958,8060,8381
TMU M08 015.0 N,10717,12329,11769,11151,10507
TMU M08 020.0 N,6334,11883,11769,11105,10337
TMU M08 040.0 N,11385,13230,12662,11929,11369
TMU M08 050.0 N,15392,17301,16763,15961,15095
TMU M08 060.0 N,13709,15533,14802,14049,13242
TMU M08 100.0 S,11747,13293,12618,12107,11438
TMU M08 105.0 S,16987,18773,18143,17094,15977
TMU M08 117.0 N,334,360,308,272,-
TMU M08 117.0 S,307,334,310,261,-
TMU M08 117.6 S,1704,1716,1591,1478,-
TMU M08 118.1 S,16166,17768,17022,16391,-
TMU M08 125.0 N,16445,18012,17254,16591,-
TMU M08 130.0 S,23497,25105,24444,23237,22037
TMU M08 130.7 N,11899,12655,12309,11828,-
TMU M08 130.7 S,11632,12495,12164,11731,-
TMU M08 140.0 S,21876,23431,22892,21716,20702
TMU M09 020.0 S,20917,22719,21806,20583,19195
TMU M09 030.0 S,18230,20045,19182,18106,16873
TMU M09 054.0 N,14032,15227,14859,-,-
TMU M09 070.0 N,14065,15116,14309,12580,12390
TMU M09 075.0 N,8215,9035,8450,7770,7190
TMU M09 080.0 N,11983,12904,12284,11482,10738
TMU M09 110.0 N,10773,11723,11176,10734,-
TMU M09 110.0 N,10409,11212,10702,10010,9443
TMU M11 010.0 N,71980,77439,76713,74475,72266
TMU M11 015.0 S,64212,69368,68521,65802,63797
TMU M11 040.0 N,30213,33204,32066,29765,28246
TMU M11 070.0 N,16523,18528,17629,16269,15587
TMU M11 080.0 N,11145,12932,12348,11438,10823
TMU M11 085.0 S,7442,8450,8207,7582,7305
TMU M18 050.0 N,10741,11069,10619,9977,9543
