name,lati,longti
TME M03 021.0 S,53.51602,-6.56167
TMU M01 000.0 N,53.4178,-6.22294
TMU M01 005.0 N,53.43663,-6.2103
TMU M01 010.0 S,53.50218,-6.19982
TMU M01 020.0 N,53.55996,-6.21491
TMU M01 033.0 N,53.66669,-6.3404
TMU M01 034.0 S,53.6732,-6.35109
TMU M01 038.0 N,53.70334,-6.38608
TMU M01 038.0 S,53.70422,-6.38613
TMU M01 060.0 N,53.91175,-6.41682
TMU M01 070.0 N,53.98545,-6.43367
TMU M01 080.0 S,54.0392,-6.37605
TMU M02 000.0 N,53.41283,-6.31592
TMU M02 010.0 N,53.48403,-6.37795
TMU M03 010.0 S,53.42933,-6.4644
TMU M03 012.0 S,53.43897,-6.46878
TMU M03 013.0 S ,53.4423,-6.47054
TMU M03 020.0 S,53.51162,-6.56182
TMU M03 030.0 S,53.59938,-6.61579
TMU M03 032.0 S,53.60249,-6.6384
TMU M03 035.0 S ,53.61787,-6.68559
TMU M03 037.0 N,53.62388,-6.71424
TMU M03 040.0 S,53.64191,-6.7428
TMU M03 041.0 N,53.64821,-6.74992
TMU M03 050.0 N,53.70779,-6.8558
TMU M03 050.0 S,53.70809,-6.85468
TMU M03 051.0 S ,53.71339,-6.86808
TMU M04 015.0 E,53.36438,-6.56185
TMU M04 020.0 W,53.37465,-6.62558
TMU M04 070.0 E,53.54357,-7.3196
TMU M06 010.0 W,53.4318,-7.22018
TMU M06 025.0 W,53.35916,-7.44539
TMU M06 035.0 W,53.38363,-7.58138
TMU M06 055.0 E,53.41239,-7.88602
TMU M07 025.0 E ,53.24144,-6.66288
TMU M07 030.0 W,53.18341,-6.7355
TMU M07 035.0 E,53.16645,-6.76811
TMU M07 040.0 E,53.1588,-6.85208
TMU M07 045.0 E,53.15473,-6.95265
TMU M07 065.0 W,53.09198,-7.16771
TMU M07 070.0 W,53.05261,-7.23607
TMU M07 080.0 E,53.01308,-7.29836
TMU M07 085.0 N,53.01996,-7.3333
TMU M07 100.0 W,52.91507,-7.49401
TMU M07 110.0 W,52.9231,-7.65301
TMU M07 125.0 E,52.90036,-7.90311
