latitude,longitude,location_type
42.710356,-73.819109,supercharger
43.68606,-93.357721,supercharger
41.699048,-85.000326,supercharger
35.486585,-120.666378,supercharger
38.249149,-112.652524,supercharger
45.734046,-108.604932,supercharger
37.625618,-109.473842,supercharger
33.443011,-112.556876,supercharger
34.614555,-120.188432,supercharger
36.070788,-79.511222,supercharger
48.509771,-122.338627,supercharger
46.729872,-122.977392,supercharger
41.161085,-104.804955,supercharger
29.690066,-96.537727,supercharger
39.92646,-122.1984,supercharger
40.683508,-80.108327,supercharger
41.080103,-73.46135,supercharger
41.067306,-73.504917,supercharger
42.235962,-71.178212,supercharger
44.737025,-122.152108,supercharger
41.660517,-71.497242,supercharger
44.77083,-91.43711,supercharger
36.766315,-108.144266,supercharger
38.642291,-121.18813,supercharger
26.485574,-81.787149,supercharger
37.492439,-121.944725,supercharger
35.505278,-108.828094,supercharger
32.943675,-112.734081,supercharger
37.66976,-77.461414,supercharger
39.552676,-107.340171,supercharger
39.326258,-101.725107,supercharger
39.090758,-108.604325,supercharger
38.993577,-110.140513,supercharger
41.041538,-73.671661,supercharger
41.040555,-73.673445,supercharger
39.605859,-77.733324,supercharger
38.90042611,-99.31856264,supercharger
42.1742546,-87.8161958,supercharger
34.922962,-110.145558,supercharger
30.716158,-95.565944,supercharger
40.66319,-73.793192,supercharger
35.191331,-114.065592,supercharger
43.879042,-91.188428,supercharger
36.165906,-115.138655,supercharger
39.26937369,-103.7087172,supercharger
42.75625,-104.45267,supercharger
41.31361465,-81.5171092,supercharger
43.12669,-89.306896,supercharger
41.57833,-83.664593,supercharger
43.795551,-90.059358,supercharger
41.245823,-73.009059,supercharger
41.246242,-73.010522,supercharger
41.717337,-86.18863,supercharger
43.701129,-98.0445,supercharger
38.573122,-109.552368,supercharger
36.617115,-121.843888,supercharger
43.886915,-100.716887,supercharger
39.678111,-111.841003,supercharger
40.735657,-74.1723667,supercharger
40.508562,-88.984738,supercharger
42.518715,-87.950428,supercharger
35.850587,-76.756116,supercharger
29.108571,-81.034603,supercharger
27.312983,-80.406683,supercharger
33.660784,-114.241801,supercharger
44.105601,-103.212569,supercharger
38.78799,-112.085173,supercharger
47.1273723,-118.3799751,supercharger
42.243893,-88.978895,supercharger
38.800537,-121.210485,supercharger
35.972904,-77.846845,supercharger
38.771208,-121.266149,supercharger
38.87738376,-97.61871509,supercharger
33.498538,-117.66309,supercharger
29.827707,-97.979685,supercharger
33.485858,-80.475763,supercharger
32.135885,-81.212853,supercharger
39.631467,-106.070818,supercharger
40.017517,-79.07712,supercharger
44.082607,-123.037458,supercharger
